#	First Name	Last Name	Gender	Race	Nationality	Religion	Class	Looks	Role	Context	Source		
50	Chuaca	Tunsuca	f	human	Nipponese	Shinto	Cleric: 5	"Short-cropped gray beard, receding gray hairline, rounded face and body, long fingers, yellow kimono."	"Head of a house, enemy of House Nyago, seeks perfect sword."	The North		1	
51	Milli	Bikotu	f	human	Zerzuran	Catholic	Psion (seer)	"Afro hair, flowery colorful dress, braided walking stick with the head of a rhinocerous. "	"Merchant, hid indigo in Tref Pier due to blockade. Friends with Visecountess Edith Larkantor. Followed by Adad."	The South		1	
52	Mohan	Kundariya	m	human	Catai	Jewish	Barbarian: 11	"Plain-looking woman with black hair in a small bun and a chopstick as pin, wears flowing linen robe over scale leather armor and two hooked swords on her back."	"Lieutenant, commnader of Catai forces in Mossy Bay, preparing invasion. "	The Metropolin		1	
53	Mumba	Komba	f	human	Cushite	Muslim (Sufi)	Samurai: 2	"Green-eyed black woman, bald, heavy triangular jade earrings, brass gorget holds her dress of multi-colored silks together."	"Sorceress of great power, had her crystal sand stolen in Torragol by "	Key Plot		1	
54	Teodia	Alanas	f	kobold	Lemurian	Buddhist	Sorcerer: 12	Clean-shaven young man with a missing ear wearing a worn white cotton short and baggy trousers.	"Thief, stole crystal sand from Muta Bino in Torragol. Pretended to be servant of Edith Larkantor. "	Subplot		1	
55	Kinka	Bolochipa	f	double kobold	Nipponese	Catholic	Assassin	"Tall muscular, winnfield beard, tiny-lenses glasses, green kimono, daichi."	Murderd his lord Kagi Hibara and took over his fort.	Adventuring		1	
56	Apalchiutzin	Tepeco	f	werechicken	Lemurian	Buddhist	Spriit Shaman	"Spartan barefoot buddhist nun in orange dress, shaved head, armed with a cudgel and a bowl."	"Dedicated to fighting the evil demon ""Mara"""	Nobility		1	
57	Arnwulf	Alwich	m	fish	Patagonian		Telepath: 2 / Fighter: 1	"Tall, tricorne hat, light, sword"		The East	Page 44	1	
58	Nekunla	Onsun	f	human	Nithian	Seth	Wizard (necromancer): 5 / Rogue: 4	Dark woman with healer's bag and a cassock		The West		1	
59	Hita Hiri	Kaichi	m	human	Thulian	Nordic	Lurk: 4	Large muscular bearded nordish man with axe and armor.		The North		1	
60	Chu Lau-Yin	Shenyi	f	half dwarf	Avalonian		Expert: 6	Small deft man		The South		1	
61	Shero	Shmimod	m	human	Nipponese	Shinto	Barbarian	"Tall bearded samurai in wood armor, katana and yellow kimono"		The Metropolin		1	
62	Wynna	Alwich	f	half kobold	Paititi	Egypthian	Pyrokineticist	"Tall, agile dark green eyes, long fingers and sharp nose"		Key Plot		1	
63	Feeqat	Safahi	m	centaur	Paititi	Egypthian	Bard:4/Master Inquisitive: 4	"Brown hair in bun, dark-brown eyes, sharp nose and long fingers, yellow-red poncho"		Subplot		1	
64	Elient	Savinoux	f	chocolate golem	Patagonian	Catholic		"Dark, bearded man with scar over eye"	Jaded mercenary and assassin.	Adventuring		1	
65	Dara	Shmimod	f	plastic dragon	Hawaiki	Muslim (Shi'a)	Paladin: 4	Olive skinned broad shouldered woman with spiky black hair and blue make-up around her eyes.	"Ship captain of the Capuslanan, a trade catamaran"	Nobility		1	
66	Yulia	Selnikov	f	human	Paititi	Egyptian		Aging bent man with whispy hair and pale green eyes	Advisor to Conde Rigualdo Torragol.	The East		1	
67	Vladimir	Selnikov	m	human	Patagonian	Catholic	Psion (kineticist): 9	"Pot-bellied balding man in cassoc and collar, crows-feet and bulbous nose"	"Catholic priest in the village of Aliz, lover of Ansan Dedje"	The West		1	
68	Lucretsia	Herodite	f	human	Themiscyran	Catholic	Fighter	"Tall black man with watery eyes, graying beard and a red mantelet, wearing a pickaxe."	"Detective, disgraced magistrate of the village of Aliz, lover of Sidro Talosa"	The North		1	
69	Hui Lin	Chit	m	human	Aztlan	Catholic	Divine Mind: 7 / Storm Disciple: 5	"Young woman with short black hair, roundish face and a defiant look."	Sister of Quetzi Coba. Sent away by the poor family.	The South	Red box	1	
70	Turkana	Emanikor	f	human	Aztlan	Catholic	Cleric: 5 / Church Inquisitor: 4	"Young lad with large brown eyes, thin lips and an elongated face. "		The Metropolin	Green box	1	
71	Bahaya	Jaisimhi	f	kobold	Patagonian	Catholic	Cleric:5/Excorcist of the Silver Flame:5	"Beautiful and graceful pale woman with black hair, a tall hairdo and a red dress"	"Baroneta, True mother of Quetzi Coba had him by a lover and abandoned him. The father was Kovsar Shmimod who died in a duel."	Key Plot	Blue Box	1	
72	Cyne	Fernor	m	double kobold	Thuvar	Buddhist	Cleric: 6	"Young lad with large brown eyes, thin lips and an elongated face. "	Looks identical to Quetzi Coba	Subplot		1	
73	Arool	Emanikor	f	werechicken	Catai	Lutheran	Artificer: 8 / Windwright Captain: 5	"Small woman with downcast eyes, wearing colorful woolens and a puprle kimono over them."	Seneschal of Daimyo 	Adventuring	Page 32	1	
74	Beves	Hampton	m	fish	Iramian	Atheist	Artificer: 12 / Heir of Siberys: 3	"Long black hair with a silver crown, calico skirt and bronze breastplate."	Mayor of the town of Jaddah	Nobility		1	
75	Jovian	Montecanne	f	human	Agarthan	Cynic	Bard: 4	"Hauntingly thin, sparse blond hair, pale purple eyes, threadbare clothes"	Adopting mother of Bahira Japuri (confuses Quetzi as her son). Abandoned Bahira to smoke opium. Addict.	The East		1	
76	Ermin	Montecanne	m	human	Zerzuran	Orthodox Christian	Paladin	"Long-legged black woman with short hair wearing a green tunic and pantaloons, and a silver skull amulet."	Loves Ibib Dagai.	The West		1	
77	Rida	Brademond	f	half dwarf	Nipponese	Catholic	Druid: 6	"Fat pale man with oily black hair, wispy mustache and beard, wearing purple kimono."	"Daimyo, trapped in Jaddah."	The North		1	
78	Fonsear	Ballebra	m	human	Nipponese	Nord	Soulknife: 5 / Illumine Soul: 4	"Nondescript Nipponese man in a heavy brown woolen robe, a leather belt with a black raven clasp"	"Skald of Odin, leads a band of Thulian brutes"	The South		1	
79	Sybeth	Ballebra	f	half kobold	Thulian	Nord	Duskblade: 10	"Large blond man with blue eyes wearing splint mail, an iron helmet and carries a large round shield, battleaxe, bow and a long knife."	"Follows Naki Magawa, bully. Enemy of Belagond."	The Metropolin		1	
80	Eildira	Ballebra	f	centaur	Catai	Shinto	Artificer: 5 / Fighter: 5	"Clean-shaven man with short-cropped black hair, black eyes wearing a white cotton shirt and leather breeches."	"lives in Jaddah, seeks a healer after his wife died of the plague"	Key Plot		1	
81	Ascopard		m	chocolate golem	Mezzoramian	Orthodox Christian	Bard: 6 / Artificer: 3 / Ranger: 3	Young sick girl wearing rags with a rounded face and curly hair	Tells Quetzi about Jaddah	Subplot		1	
82	Yvor	Guyson	m	plastic dragon	Hawaiki	Nord		Young athletic boy with copper skin and flowing hair	"Jumped to catch a ride on the Capuslanan, infected with Kneeling fever. Made a bunch of money from Anamar Dwaraika."	Adventuring		1	
83	Ksenia	Zarova	f	human	Aztlan	Voudoun	Artificer: 11	"Woman in feathered jaguar helmet, ringmail, leather cape, two khopesh swords and a basket of javelins."	Agent of the Aztlanian Kingdom. Ruthless and violent. 	Nobility		1	
84	Zdesla	Dejova	f	human	Aztlan	Voudoun	Druid: 5	"Woman in feathered hawk helmet, studded leather armor, carrying a sling and obsidian double axe."	"Follower of Nenetina Acalcos, alchemist."	The East	Page 44	1	
85	Stany	Dejova	m	human	Thuvar	Catholic	Scout: 2	"Thin, circulr bald spot surrounded by mushroom white hair, quivering lips, stained cassock."	Priest of Catholic church in Jaddah	The West		1	
86	Dekon	Dejova	m	human	Avalonian	Orthodox Christian	Druid	Square-bodied woman with simple red dress and stern face.	"Wife of Eden Fletcher, hostile and stirs trouble."	The North		1	
87	Mlava	Dejova	f	human	Avalonian	Orthodox Christian	Fighter: 1 / Sorcerer: 4 / Eldritch Knight: 8	"Light-ginger hair, sideburns and mustache, heavy linen coat over ringmail hauberk."	"Town guard, husband of Linda Fletcher, self-appointed detective. Powerful (3). Contact of Quetzi."	The South		1	
88	Bosek	Dejova	m	kobold	Paititi	Hindu	Cleric: 7 / Warpriest: 4	"Plump young man in yellow silk vest and white breeches, carrying an axe and bow."	"Hindu priest, vedic, seeks to become kavi."	The Metropolin		1	
89	Zlina	Dejova	f	double kobold	Paititi	Hindu	Artificer: 8	Elderly woman in rich cotton dressing gown with dazzling patterns.	"Contact of Aguan Ayamasin, powerful merchant loyal to the royal house and remembers Aguan's father. Stuck with honey products in Torragol"	Key Plot		1	
90	Ingasa	Gelu	m	werechicken	Thuvar	Hindu		"Armored dark woman with short-cropped hair, a curved sword and composite bow."	"Contact of Aguan Ayamasin, Kshatriya horse-archer mercenary commander."	Subplot		1	
91	Niele	Valham	f	fish	Thuvar	Catholic	Fighter: 8	"Large man, topknot and bushy black beard, square shoulders, wears brigandine and chainmail pants."	Security guard stole the safe from the moneylender Pratibha Patil of Jaddah.	Adventuring		1	
92	Wolda	Valham	f	human	Themiscyran	Jewish	Druid: 1	"Short black woman with long hair, muscular arms wearing a yellow woolen vest and baggy pantaloons."	"Boater, lost her title to her boat to a charlatan who sold her a fake cure for the plague. "	Nobility		1	
93	Gilex	Shmata	f	human	Patagonian	Voudoun	Bard: 9	"Young girls with brown pigtails and pale skin, wearing a dirty pink dress."	"Daughter of a tax collector, who took her to work and lost her while chasing a tax evader. Teodia wandered off and plays with insects."	The East		1	
94	Conburga	Tamboro	f	half dwarf	Zerzuran	Muslim (Shi'a)	Bard	"Old bent black woman with whispy white hair and moles on her face, wearing a leather coat and clinging to a wobbly walking stick"	"Archeologist, fascinated by the Roman Empire, got rich from selling fossils but her money ran out."	The West		1	
95	Aksisvaj	Shmata	m	human	Aztlan	Orthodox Christian		"Thin and fragile woman with spectacles, a feathered headdress and an orange silk dressing gown."	Writer of travel books	The North		1	
96	Askoom	Tamboro	m	half kobold	Agarthan	Nord	Bard: 9	"Very old man with shaking hands, dressed in furry brown tunic. Weak gray eyes."	"Scribe, husband of Wynna"	The South	Red box	1	
97	Azeema	Samdobo	f	centaur	Laestygian	Orthodox Christian	Bard: 8/Shadowdancer: 4	"Black woman with rounded face, curly hair, wearing a colorful patched outfit with symbols and patterns, with bells."	"Jester, lover of Guso Alon from Acorma. Close friend of Elient Savinoux."	The Metropolin		1	
98	Canda	Kotapur	f	chocolate golem	Nipponese	Lutheran	Wilder: 7 / Anarchic Initiate: 4	"Small girl with straight short black hair, clutching a heavy book, wearing a cotton black robe."	"Cabalist, plans to murder Muta Bino the sorceress. "	Key Plot		1	
99	Emekas	Kotapur	m	plastic dragon	Catai	Bushido	Paladin:5/Dragonmark heir: 3	"Stocky woman with tired face wearing brigandine, carrying a small wooden shield and spear, wears a rounded steel cap."	"Militia, old friend of the Iwembo family, knows Mangu well. Sister of Hao-Mi-Ha Shenyi"	Subplot		1	
100				human	Kuzari	Muslim (Sunni)	Fighter: 1 / Wizard (evoker): 7	"Bearded pot-bellied man in brown clothes, crows-feet despite his young age and perfect teeth."	"Charcoal seller, husband of Dara, his older brother Kovsar was the lover of Estel Taguala and died in a duel. Knows Estel's secret. "	Adventuring		1	
101	Jayashri	Kotapur	f	human	Agarthan	Cynic	Artificer: 8	Pale blond woman wears a fur coat and carries a longbow taller than herself. Coarse hands are in contrast with her gentle face.	"Furrier, wife of Arnwulf, convicted of poaching and went into debt, had to marry an old man, and she resents it."	Nobility		1	
102	Iyafrah	Ogban	f	human	Iramian	Egyptian	Artificer: 6	"A small tanned man, wiry and weary. Barefoot, wears simple pants and shirt of worn gray linen."	"Cotton planter, killed Kovsar Shmimod in a duel."	The East		1	
103	Eviosar	Kropot	m	human	Averoignian	Sun	Rogue: 6	"Nondescript woman in blue dress, apron and white headscarf. Blistered fingers and large nose."	"Fuller (wool cleaner), close friend of Nekunla Onsun."	The West		1	
104	Enaria	Pontorra	f	human	Kuzari	Egyptian		"Topknot light brown hair, elegant green tunic and embroidered green skirt matching her green eyes."	"Antique dealer, wife of Shero. Went to school with Amalia de Santos."	The North		1	
105	Aly	Al-Khabi	m	kobold	Scholomancian	Sun	Expert: 3	"Busty orange-haired woman in green velvet dress, mink scarf."	"Lady (boyar), powerful and decisive"	The South		1	
106	Suri		f	double kobold	Scholomancian	Sun	Ranger: 2	"Balding man with faint beard and mustache, dark brown eyes. Wears dark brown silk jacket."	"Lord (boyar), sycophant, slight stutter"	The Metropolin		1	
107	Eriann	Karling	m	werechicken	Helikite	Lutheran	Fighter: 6	Young blond woman with blue eyes and a surprised look.	"Engineer, spark, inventor"	Key Plot		1	
108	Ani	Karling	f	fish	Catai	Hindu	Cleric: 5	"Young man with oversized helmet, toting an oval shield on his back, a cat o-nine-tails in his belt, a voulge and a sling."	"Confused soldier, mocked by comrades, victim of Somnia magic."	Subplot		1	
109	Constie	Karling	f	human	Mezzoramian	Lutheran	Druid: 6 / Planar Shepherd: 8	"Round-faced black woman with afro, painted eyebrows and heavy silver earrings"	Headmistress of the Winter Sprouts farming school. Mother of Arool Emanikor.	Adventuring		1	
110	Garneou	Karling	m	human	Thuvar	Hindu		"Brown-skinned girl with ponytail, black eyes and a plain hemp dress."	"Farmer, religious, excited about Aguan"	Nobility		1	
111	Wi-Lai	Pingyi	f	half dwarf	Agarthan	Lutheran		"Pale blond long hair, square face, large body, wears black leathers."	"Importer, blacksmith, asocial"	The East		1	
112	Padedu	Syuti	m	human	Mezzoramian	Lutheran		"Round-faced black girl with afro, wearing a yellow dress with a hundred pockets, wooden clogs and with a dessicated butterfly around her neck as a necklace"	Daughter of Turkana Emanikor. Her grandfather believed she will become an alchemist. Her stuff were stolen from her stash near the Winter Sprouts school.	The West		1	
113	Anyakol	Dese	f	half kobold	Avalonian	Nord	Swashbuckler: 8	"Oval head and handlebar mustache, brown hair and eyes, gleaming silver breastplate and saber."	"Knight, loves Jovian, his father was murdered by his mothers lover.Grew up with King Ermine Montecanne, received the swrod Morgelai and the horse Arondel. Friend of Ascopard."	The North	Blue Box	1	
114	Zlavoi	Radejov	m	centaur	Averoignian	Muslim (Sufi)	Duskblade: 4		"Princess, daughter fo King Ermin Montecanne. Loves Beves Hampton."	The South		1	
115	Quila	Omambolla	f	chocolate golem	Averoignian	Muslim (Sufi)	Aritifcer: 6 / Expert: 4 / Rogue: 3		"King of Charlay, father of Jovian, protected Beves and now believes he deflowered his daughter and tries to kill him. Enemy of Rida Bradamond but willing to cooperate with her. Enemy of Neki Wango."	The Metropolin	Page 32	1	
116	Atril	Raywick	f	plastic dragon	Mezzoramian	Nord	Ranger: 2		Earl of the Mezzoramian Earldom of Obin. Fights King Ermin Montecanne. 	Key Plot		1	
117	Ghost Jerboah		f	human	Patagonian	Catholic	Rogue: 3/Wizard (illusionist): 3		"Conde. Husband of Sybeth, father of , wants her to inherit. Enemy of Conde Rigualdo Torragol."	Subplot		1	
118	Morning Yawn		m	human	Avalonian	Nord	Cleric: 8		"Mother of Beves Hampton, wife of Fonsear Ballebra. Tried to murder Beves, after murdering her previous husband Anders."	Adventuring			
119	Barrow Slumber		f	human	Patagonian	Catholic	Ninja		Daughter of Fonsear. Powerful spoiled noblewoman. Unmarried. Childhood friend of Breda Perspective.	Nobility		1	
120	Smoke		m	human	Patagonian	Jewish	Ranger	Giant of a man.	Friend of Beves Hampton.	The East		1	
121	Antler Twig		f	human	Thulian	Egyptian	Duskblade		King of Mombraunt	The West		1	
122	Frost on Thorn		f	kobold	Scholomancian	Orthodox Christian	Ranger: 3 / Barbarian: 4		"Maid of Lady Zlina Dejova, sent to assassinate Vadim Dejova."	The North		1	
123	Rusumba	Marblefist	m	double kobold	Scholomancian	Orthodox Christian	Healer: 7		Older sister of Vadim Dejova	The South		1	
124	Kasli	Marblefist	f	werechicken	Scholomancian	Catholic	Scout: 4		"Older brother of Vadim Dejova. Husband of Maarit Dejova, ally of Conde se Tosiera. "	The Metropolin		1	
125	Ufini	Marblefist (Zadeem)	f	fish	Scholomancian	Lutheran	Psion (shaper): 5 / Ectopic Adept: 5		"Younger brother of Vadim Dejova, murdered his older brother Roman"	Key Plot		1	
126	Usagi	Kyuse	m	human	Scholomancian	Orthodox Christian			Younger sister of Vadim Dejova	Subplot	Page 44	1	
127	Sanza	Zadeem	m	human	Scholomancian		Barbarian		"Father of Vadim Dejova, Grand Duke of Briansky, husband of Zlina Dejova. His agent is Zinab al-Bousat."	Adventuring		1	
128	Vani	Satnaga	f	half dwarf	Scholomancian		Artificer: 12		"Mother of Vadim Dejova, Grand Duchess of Briansky, wife of Bosek Dejova"	Nobility		1	
129	Gunnla	Sanarsdottir	f	human	Laestygian	Cynic	Rogue: 4	"Thin black man with a crooked arm, wears rags and a ten-gallon hat, chews tobacco."	"Beggar, former pimp, friend of Birgha Badun. Heard the group are looking for Vadim. "	The East		1	
